DataType,IterationNumber,numPoints,runs,trueBeta,MCLTSBetaAvg,MCLTSBetaAvgError,MCLTSBetaStd,NoisyStatsBetaAvg,NoisyStatsBetaAvgError,NoisyStatsStd,
Gaussian,0,10,10,0.801343800442703,0.7071129827101796,0.0942308177325234,0.08768759876307479,0.8376479844454533,0.03630418400275026,10.648317741033726,
Bimodal,0,10,10,0.6342741073975561,1.0753433101938983,0.4410692027963422,0.2198064695442688,0.02696819796968013,0.607305909427876,1.6600583242962452,
Outlier,0,10,10,0.14786843892920976,0.2730791754329732,0.12521073650376346,0.10707580120189862,2.229932230927154,2.0820637919979443,4.067295381253638,
Gaussian,1,10,10,0.5676432043177816,0.5451994599106141,0.022443744407167454,0.06273025639132178,9.219034448205425,8.651391243887645,21.63515158915365,
Bimodal,1,10,10,-0.27508160852842395,-1.1999533211103657,0.9248717125819417,0.381564677968449,24.786176784705265,25.06125839323369,80.02944098424776,
Outlier,1,10,10,-0.1899935825276211,-0.04350381838167896,0.14648976414594214,0.11459996185252894,-1.2950586787957434,1.1050650962681223,4.122435020851789,
Gaussian,2,10,10,0.8173106957000494,1.0156252505027805,0.19831455480273108,0.11576482200386905,-5.143444789127644,5.960755484827693,16.24444609880408,
Bimodal,2,10,10,1.066867337760141,1.3142541820033722,0.2473868442432312,0.17472124522446608,10.782086609587928,9.715219271827788,17.181530672883994,
Outlier,2,10,10,-0.3713499864901899,-0.1488005372272443,0.22254944926294562,0.16462212837325055,-2.552244471615553,2.180894485125363,3.97500432230035,
Gaussian,3,10,10,0.9987181096695935,0.9037170986952331,0.09500101097436042,0.23142728002756804,2.2736708161498913,1.2749527064802977,6.2599067238804835,
Bimodal,3,10,10,0.9729798499759941,0.9299805084801059,0.04299934149588813,0.11047670796213242,0.4361789104378575,0.5368009395381366,3.9856881926425554,
Outlier,3,10,10,0.1173936962956755,0.4523705074200451,0.3349768111243696,0.11652589827407245,-0.5099119977123523,0.6273056940080278,0.8574391205054325,
Gaussian,4,10,10,0.847061801331521,0.6229730735201247,0.22408872781139633,0.060246361439847185,5.219294007985631,4.37223220665411,8.874277582335779,
Bimodal,4,10,10,0.03768598130163557,-0.7252304053661559,0.7629163866677915,0.30967614401663296,-1.10405605635705,1.1417420376586855,5.936222410855876,
Outlier,4,10,10,-0.06924158230942554,-0.030975669906304883,0.038265912403120654,0.07432124929632387,0.9639326319730243,1.0331742142824498,2.23561161801533,
Gaussian,5,10,10,0.8394111344400486,4.739691295005548,3.900280160565499,1.603502872160101,5.785665816512571,4.946254682072523,11.655682160719477,
Bimodal,5,10,10,0.2496708700557307,-0.07978236095965432,0.32945323101538504,0.29207064664170795,-0.019041428231222568,0.26871229828695326,1.1430246872667995,
Outlier,5,10,10,-0.10553979663311279,-0.011515498850500617,0.09402429778261218,0.18347036379174966,0.26975371236701207,0.37529350900012487,3.9776709191438053,
Gaussian,6,10,10,0.7780101577217551,1.1414693559335276,0.3634591982117725,0.10176152428322849,2.1888081017704453,1.4107979440486902,3.804065729651705,
Bimodal,6,10,10,-0.21918183184804016,0.3474678640346195,0.5666496958826597,0.3302776265067333,3.5811063533864753,3.8002881852345154,10.261130861659701,
Outlier,6,10,10,43.58323697843925,-813.3359793028972,856.9192162813364,393.39526957367445,-1.167396212629487,44.75063319106874,2.1544378456820077,
Gaussian,7,10,10,0.8589193428555308,1.5109559064777451,0.6520365636222143,0.36968834075435436,-0.4415878154780949,1.3005071583336258,1.3170889691962604,
Bimodal,7,10,10,0.6093502931276844,1.5127069511265112,0.9033566579988268,0.19681439958586924,-1.965160987788638,2.5745112809163224,3.8354569405859236,
Outlier,7,10,10,0.04745253039690537,0.26715961249926623,0.21970708210236087,0.2423718247374559,-0.051300464136232925,0.0987529945331383,0.6704617205022334,
Gaussian,8,10,10,0.713771331480742,2.2220719478250843,1.5083006163443424,0.6349377838907442,-0.7161341100693173,1.4299054415500594,1.759791681765743,
Bimodal,8,10,10,0.7408259871519745,0.2580586135105523,0.48276737364142214,0.26213666321649787,3.2664070206973137,2.5255810335453392,6.808120425272881,
Outlier,8,10,10,0.14885792028139955,0.15219426745698744,0.003336347175587895,0.06878947685721604,0.11348215849664474,0.03537576178475481,0.583712119410516,
Gaussian,9,10,10,0.9770412053977051,1.4010433438730776,0.4240021384753725,0.26134589345232134,8.42808423580375,7.451043030406045,22.342951198884446,
Bimodal,9,10,10,0.31744226413257404,0.34541890061296415,0.027976636480390116,0.36655773310178896,2.4547048412251433,2.137262577092569,10.22508611681412,
Outlier,9,10,10,99.36740499554746,-701.4776392457178,800.8450442412652,378.3644011725498,-3.4091851094340107,102.77659010498147,4.498106352085486,
Gaussian,0,25,10,0.8645620284800206,1.1389204510930169,0.27435842261299626,0.16649489426199215,-1.6995652259771574,2.564127254457178,4.564509953219968,
Bimodal,0,25,10,0.34877384379692766,0.9141527385311473,0.5653788947342197,0.39036718160529604,4.984618277536439,4.6358444337395115,16.04910220892808,
Outlier,0,25,10,37.35757359168883,278.1285014701954,240.77092787850654,177.72511135428283,-0.06106124854476212,37.418634840233594,1.565721484070203,
Gaussian,1,25,10,0.891660439612426,0.969329865318692,0.077669425706266,0.04768974601152882,0.3246062487363862,0.5670541908760398,0.7239862015893583,
Bimodal,1,25,10,0.20724662178864317,-1.4996918200393403,1.7069384418279836,1.07395445459298,-1.4436697681111499,1.650916389899793,4.132002714445351,
Outlier,1,25,10,0.26477468526675,0.25422339630894575,0.010551288957804272,0.14249351952280734,-1.350023771157136,1.614798456423886,4.615466834915808,
