DataType,IterationNumber,numPoints,runs,trueBeta,MCLTSBetaAvg,MCLTSBetaAvgError,MCLTSBetaStd,NoisyStatsBetaAvg,NoisyStatsBetaAvgError,NoisyStatsStd,
Bimodal,25,25,10,0.2902535473600313,-0.3900583531822313,0.6803119005422626,0.37866479222967064,2.8390507584155915,2.54879721105556,8.913957054554134,
Outlier,25,25,10,30.361019104516842,638.018080904641,607.6570618001242,265.94806777277887,-25.794431943879108,56.155451048395946,76.36116524023173,
Gaussian,25,25,10,0.8537089054165906,0.9941248347306546,0.140415929314064,0.04120865855215746,-2.128600565036094,2.9823094704526847,6.441245806342662,
Bimodal,25,25,10,0.20545331080677715,0.04051182735942642,0.1649414834473507,0.09411009110054733,0.1934421948154501,0.012011115991327037,4.5077142472672005,
Outlier,25,25,10,36.95845911122766,749.4068403284485,712.4483812172209,331.2727197965831,-0.5706127275571331,37.529071838784795,1.2218787632909396,
Gaussian,25,25,10,0.539273086467412,0.2645677268186809,0.2747053596487311,0.05495173549348225,-0.47007032688675904,1.009343413354171,2.2243304412940446,
Bimodal,25,25,10,0.40026881183334817,-0.1852628593279128,0.585531671161261,0.45750248829177476,1.1971813367311275,0.7969125248977793,3.0729773133001843,
Outlier,25,25,10,-0.00270967394707444,355.6132145206253,355.6159241945724,155.6480621006001,0.31028100574774065,0.3129906796948151,0.6044321845670239,
Gaussian,25,25,10,0.7184571055730312,0.8682968656434904,0.14983976007045918,0.10363902823497215,-1.8193796528307415,2.5378367584037727,7.642158932639292,
Bimodal,25,25,10,0.4646117796610637,-0.1149261220513083,0.579537901712372,0.2010126829976044,-3.399963591321252,3.864575370982316,8.371865317943161,
Outlier,25,25,10,26.696004268333965,318.96893571741157,292.2729314490776,172.40736194176856,-0.6689185176286906,27.364922785962655,1.876598774701848,
Gaussian,25,25,10,0.8766503752100137,1.205464295568708,0.3288139203586944,0.221979210951333,-1.109687874682662,1.9863382498926756,29.138289331176384,
Bimodal,25,25,10,0.12955136472378811,0.19994274812153684,0.07039138339774872,0.07418702015860977,-9.50835023325526,9.637901597979049,31.571635634400547,
Outlier,25,25,10,-0.211275963737336,-0.04456489195335807,0.16671107178397793,0.06989137196689761,1.463765501877372,1.6750414656147081,2.5838187378770825,
Gaussian,25,25,10,0.6616368061702432,1.0203185414638625,0.35868173529361924,0.23920791997764387,1.1724451794228368,0.5108083732525935,4.642410076475424,
Bimodal,25,25,10,0.44966697847218995,-0.07034317577653572,0.5200101542487257,0.08767046718690782,-0.19775100491669662,0.6474179833888866,3.981037412855404,
Outlier,25,25,10,39.30958061116363,415.763563199882,376.45398258871836,189.2302106802965,-0.5984235589110243,39.908004170074655,1.020909466947718,
Gaussian,50,50,10,0.7120622757224805,0.776840212170455,0.06477793644797447,0.035086600040709744,0.8082314866304271,0.09616921090794661,0.7214125596150758,
Bimodal,50,50,10,0.6690947578014348,0.7536776941218157,0.08458293632038094,0.02559165726978651,-1.1463312596719901,1.815426017473425,2.5056032583244368,
Outlier,50,50,10,36.757975453828905,29.820486709377594,6.937488744451311,6.404640565815254,-5.5094695525992625,42.26744500642817,22.6489108499297,
Gaussian,50,50,10,0.7637126333577651,0.6881994585129217,0.07551317484484332,0.026750448809410073,-0.2995172502358379,1.063229883593603,1.0025017900777398,
Bimodal,50,50,10,0.4023168587750844,-0.008668030790098548,0.4109848895651829,0.1571304026610023,0.31799250969387205,0.08432434908121234,0.6055824047117998,
Outlier,50,50,10,32.820183783036,109.80402339971536,76.98383961667936,43.32376652333721,-3.2463092361862445,36.06649301922224,7.668388608635513,
Gaussian,50,50,10,0.4436788275899194,0.6444621936176227,0.2007833660277033,0.05053678753690842,11.917013698266176,11.473334870676258,35.47828943840939,
Bimodal,50,50,10,0.2877717250899465,1.2929822855236917,1.0052105604337451,0.5812584978934748,-5.026542273073953,5.314313998163899,6.862069188667129,
Outlier,50,50,10,34.12828793033578,40.10864509685716,5.9803571665213795,4.051628892866851,0.07882096570840333,34.04946696462738,2.4690753933157357,
Gaussian,50,50,10,0.7835545450650387,0.9357558705339312,0.15220132546889242,0.05740508492132468,0.14841989362109503,0.6351346514439438,0.1842363424076674,
Bimodal,50,50,10,0.4904028033323006,0.04371655697876292,0.44668624635353765,0.12826843240070596,0.33352511271853,0.15687769061377055,2.8218255139119433,
Outlier,50,50,10,34.023809473810466,33.525660747085624,0.49814872672484256,1.56739904886073,0.467090340012425,33.55671913379804,5.359906540055981,
Gaussian,50,50,10,0.6252283007781444,0.5901964950605081,0.03503180571763631,0.018038210523763736,1.164470458816384,0.5392421580382395,1.0774020958777244,
Bimodal,50,50,10,0.6684365496113924,1.1137932239370967,0.44535667432570425,0.19888779934800588,0.06947642775660796,0.5989601218547844,0.8775414666944995,
Outlier,50,50,10,24.80779978361395,134.8523833685034,110.04458358488947,67.69307710413483,1.0610828698025503,23.7467169138114,2.6964871281860114,
Gaussian,50,50,10,0.6242639954589612,0.5032968758554982,0.12096711960346296,0.028509378702748653,-0.006006902832202332,0.6302708982911635,1.0752591270156544,
Bimodal,50,50,10,0.7374733660705433,0.7036460190243291,0.03382734704621415,0.0490709730363889,3.2660074417240126,2.5285340756534693,5.12516365447845,
Outlier,50,50,10,41.52282098085038,55.50517457992007,13.98235359906969,6.548343731603241,0.24453226320043941,41.27828871764994,0.7386481578594792,
Gaussian,50,50,10,0.60009031941653,0.565277144896594,0.03481317451993604,0.026425067776391233,-0.06067255725005564,0.6607628766665856,0.8870221000447156,
Bimodal,50,50,10,0.24811280384348047,0.2232559625047473,0.02485684133873317,0.03591796807265175,-1.011884110299519,1.2599969141429996,3.173795465997335,
Outlier,50,50,10,43.9690368940579,533.1331704632847,489.1641335692268,317.4694166356003,1.519640763151324,42.44939613090658,5.301589190205124,
Gaussian,50,50,10,0.8916673707840451,0.9385401430835774,0.04687277229953224,0.0427162290650223,0.5191401394935817,0.3725272312904634,0.3903866891422578,
Bimodal,50,50,10,0.6638109954558462,1.166932794988559,0.5031217995327129,0.14689239103260132,0.681515129605831,0.01770413414998484,1.0684320167991108,
Outlier,50,50,10,32.798884792717345,2342.664894703307,2309.8660099105896,1270.6730070457024,-77.2119775599555,110.01086235267285,231.8436868896881,
Gaussian,50,50,10,0.5041828307560635,0.3403118401980862,0.16387099055797733,0.03794818725543381,0.8625822380746397,0.3583994073185762,3.3954278438328207,
Bimodal,50,50,10,0.48835131589340525,-0.03248646152994296,0.5208377774233482,0.11684563409467541,0.07324708940187813,0.4151042264915271,0.14237968847162544,
Outlier,50,50,10,36.3977226584281,37.58123852620182,1.1835158677737212,2.1663030099777836,0.8772479060335823,35.52047475239452,1.894290278581987,
Gaussian,50,50,10,0.6633801754854396,0.6616979935700829,0.0016821819153567397,0.014520945376127276,1.220436476641424,0.5570563011559844,1.9617738959941278,
Bimodal,50,50,10,0.6602945337453443,0.8189164712104274,0.15862193746508313,0.027693004885866245,-0.2938931656669009,0.9541876994122451,2.262134002030754,
Outlier,50,50,10,29.56098454686544,26.32602096105303,3.2349635858124124,4.707747609055801,2.1086040533583494,27.452380493507093,4.251322247316517,
Gaussian,75,75,10,0.8323586061059584,0.8851116165773643,0.0527530104714059,0.014844998806185181,0.45360414343485855,0.3787544626710998,0.34294564366137237,
Bimodal,75,75,10,0.4568041211500298,1.6398554179900047,1.183051296839975,0.7691292272956175,-0.11710650306672155,0.5739106242167513,1.119690050346272,
Outlier,75,75,10,27.97471072564439,30.898086420896995,2.9233756952526058,1.457126289962619,-0.32238644783375553,28.297097173478143,5.443198065408479,
Gaussian,75,75,10,0.6176201209795806,0.6028975869666254,0.014722534012955202,0.0421979560107538,0.4667107180437795,0.15090940293580113,1.109200308033967,
Bimodal,75,75,10,0.371710374343751,0.2020910318360433,0.1696193425077077,0.06863281753208582,1.3186338181777617,0.9469234438340107,4.234508342009028,
